ProductID,ProductName,Category,ListPrice
771,"Mountain-100 Silver, 38",Mountain Bikes,3399.99
772,"Mountain-100 Silver, 42",Mountain Bikes,3400.99
773,"Mountain-100 Silver, 43",Mountain Bikes,3401.99
774,"Mountain-100 Silver, 44",Mountain Bikes,3402.99
775,"Mountain-100 Silver, 45",Mountain Bikes,3403.99
776,"Mountain-100 Silver, 46",Mountain Bikes,3404.99
777,"Mountain-100 Silver, 47",Mountain Bikes,3405.99
778,"Mountain-100 Silver, 48",Mountain Bikes,3406.99
779,"Mountain-100 Silver, 49",Mountain Bikes,3407.99
780,"Mountain-100 Silver, 50",Mountain Bikes,3408.99
781,"Mountain-100 Silver, 51",Mountain Bikes,3409.99
782,Road-50,Road Bikes,539.99
783,Road-51,Road Bikes,539.99
784,Road-52,Road Bikes,539.99
785,Road-53,Road Bikes,539.99
786,Road-54,Road Bikes,539.99
787,Road-55,Road Bikes,539.99
788,"Road-750 Black, 52",Wheels,123.99
789,"Road-750 Black, 53",Wheels,124.99
790,"Road-750 Black, 54",Wheels,125.99
791,"Road-750 Black, 55",Headsets,126.99
792,"Road-750 Black, 56",Headsets,127.99
793,"Road-750 Black, 57",Headsets,128.99
794,"Road-750 Black, 58",Headsets,129.99
795,"Road-750 Black, 59",Bike Racks,112.89
796,"Road-750 Black, 60",Bike Racks,113.89
797,"Road-750 Black, 61",Bike Racks,114.89
798,"Road-750 Black, 62",Bike Racks,115.89
799,"Road-750 Black, 63",Bike Stands,116.89
800,"Road-750 Black, 64",Bike Stands,117.89
801,"Road-750 Black, 65",Bike Stands,118.89
802,"Road-750 Black, 66",Bike Stands,119.89
